full_path,file_summary,key_exports,dependencies,content_hash
fix_verification_errors_example.py,Error processing file: All candidate models failed.,[],[],error
fix_verification_errors_loop_example.py,Error processing file: All candidate models failed.,[],[],error
fix_verification_main_example.py,Error processing file: All candidate models failed.,[],[],error
gcs_hmac_test.py,Error processing file: All candidate models failed.,[],[],error
gemini_may_pro_example.py,Error processing file: All candidate models failed.,[],[],error
generate/1/fix_errors_from_unit_tests.py,Error processing file: All candidate models failed.,[],[],error
generate/2/cli.py,Error processing file: All candidate models failed.,[],[],error
generate/3/cli.py,Error processing file: All candidate models failed.,[],[],error
generate/4/cli.py,Error processing file: All candidate models failed.,[],[],error
generate/5/generate_output_paths.py,Error processing file: All candidate models failed.,[],[],error
generate/6/conflicts_main.py,Error processing file: All candidate models failed.,[],[],error
generate/7/code_generator_main.py,Error processing file: All candidate models failed.,[],[],error
generate/8/llm_invoke.py,Error processing file: All candidate models failed.,[],[],error
generate_output_paths_example.py,Error processing file: All candidate models failed.,[],[],error
generate_test_example.py,Error processing file: All candidate models failed.,[],[],error
get_comment_example.py,Error processing file: All candidate models failed.,[],[],error
get_extension_example.py,Error processing file: All candidate models failed.,[],[],error
get_jwt_token_example.py,Error processing file: All candidate models failed.,[],[],error
get_language_example.py,Error processing file: All candidate models failed.,[],[],error
get_run_command_example.py,Error processing file: All candidate models failed.,[],[],error
get_test_command_example.py,Error processing file: All candidate models failed.,[],[],error
git_update_example.py,Error processing file: All candidate models failed.,[],[],error
include_query_extractor_example.py,Error processing file: All candidate models failed.,[],[],error
increase_tests_example.py,Error processing file: All candidate models failed.,[],[],error
incremental_code_generator_example.py,Error processing file: All candidate models failed.,[],[],error
insert_includes_example.py,Error processing file: All candidate models failed.,[],[],error
install_completion_example.py,Error processing file: All candidate models failed.,[],[],error
job_manager_example.py,Error processing file: All candidate models failed.,[],[],error
langchain_lcel_example.py,Error processing file: All candidate models failed.,[],[],error
list_stats_example.py,Error processing file: All candidate models failed.,[],[],error
litellm_bedrock_sonnet.py,Error processing file: All candidate models failed.,[],[],error
llm_invoke_example.py,Error processing file: All candidate models failed.,[],[],error
llm_model_ranges_example.py,Error processing file: All candidate models failed.,[],[],error
llm_selector_example.py,Error processing file: All candidate models failed.,[],[],error
load_prompt_template_example.py,Error processing file: All candidate models failed.,[],[],error
logo_animation_example.py,Error processing file: All candidate models failed.,[],[],error
model_tester_example.py,Error processing file: All candidate models failed.,[],[],error
o4-mini-test.ipynb,Error processing file: All candidate models failed.,[],[],error
one_session_sync_example.py,Error processing file: All candidate models failed.,[],[],error
operation_log_example.py,Error processing file: All candidate models failed.,[],[],error
path_resolution_example.py,Error processing file: All candidate models failed.,[],[],error
pddrc_initializer_example.py,Error processing file: All candidate models failed.,[],[],error
postprocess_0_example.py,Error processing file: All candidate models failed.,[],[],error
postprocess_example.py,Error processing file: All candidate models failed.,[],[],error
postprocessed_runnable_llm_output.py,Error processing file: All candidate models failed.,[],[],error
preprocess_example.py,Error processing file: All candidate models failed.,[],[],error
preprocess_main_example.py,Error processing file: All candidate models failed.,[],[],error
process_csv_change_example.py,Error processing file: All candidate models failed.,[],[],error
prompt_caching.ipynb,Error processing file: All candidate models failed.,[],[],error
provider_manager_example.py,Error processing file: All candidate models failed.,[],[],error
pytest_example.py,Error processing file: All candidate models failed.,[],[],error
pytest_isolation_example.py,Error processing file: All candidate models failed.,[],[],error
pytest_output_example.py,Error processing file: All candidate models failed.,[],[],error
python_env_detector_example.py,Error processing file: All candidate models failed.,[],[],error
range_validator_example.py,Error processing file: All candidate models failed.,[],[],error
regression_example.sh,Error processing file: All candidate models failed.,[],[],error
remote_session_example.py,Error processing file: All candidate models failed.,[],[],error
render_mermaid_example.py,Error processing file: All candidate models failed.,[],[],error
resolve_effective_config_example.py,Error processing file: All candidate models failed.,[],[],error
server/__init___example.py,Error processing file: All candidate models failed.,[],[],error
server/app_example.py,Error processing file: All candidate models failed.,[],[],error
server/click_executor_example.py,Error processing file: All candidate models failed.,[],[],error
server/executor_example.py,Error processing file: All candidate models failed.,[],[],error
server/jobs_example.py,Error processing file: All candidate models failed.,[],[],error
server/models_example.py,Error processing file: All candidate models failed.,[],[],error
server/routes/__init___example.py,Error processing file: All candidate models failed.,[],[],error
server/routes/architecture_example.py,Error processing file: All candidate models failed.,[],[],error
server/routes/auth_example.py,Error processing file: All candidate models failed.,[],[],error
server/routes/commands_example.py,Error processing file: All candidate models failed.,[],[],error
server/routes/config_example.py,Error processing file: All candidate models failed.,[],[],error
server/routes/extracts_example.py,Error processing file: All candidate models failed.,[],[],error
server/routes/files_example.py,Error processing file: All candidate models failed.,[],[],error
server/routes/prompts_example.py,Error processing file: All candidate models failed.,[],[],error
server/routes/session_example.py,Error processing file: All candidate models failed.,[],[],error
server/routes/websocket_example.py,Error processing file: All candidate models failed.,[],[],error
server/security_example.py,Error processing file: All candidate models failed.,[],[],error
server/terminal_spawner_example.py,Error processing file: All candidate models failed.,[],[],error
server/token_counter_example.py,Error processing file: All candidate models failed.,[],[],error
setup_tool_example.py,Error processing file: All candidate models failed.,[],[],error
simple_math.py,Error processing file: All candidate models failed.,[],[],error
split/1/pdd.py,Error processing file: All candidate models failed.,[],[],error
split/1/split_get_extension.py,Error processing file: All candidate models failed.,[],[],error
split/2/pdd.py,Error processing file: All candidate models failed.,[],[],error
split/2/split_pdd_construct_output_path.py,Error processing file: All candidate models failed.,[],[],error
split/3/postprocess.py,Error processing file: All candidate models failed.,[],[],error
split/3/split_postprocess_find_section.py,Error processing file: All candidate models failed.,[],[],error
split/4/construct_paths.py,Error processing file: All candidate models failed.,[],[],error
split/4/split_construct_paths_generate_output_filename.py,Error processing file: All candidate models failed.,[],[],error
split/5/cli.py,Error processing file: All candidate models failed.,[],[],error
split/5/split_track_cost.py,Error processing file: All candidate models failed.,[],[],error
split/6/cli.py,Error processing file: All candidate models failed.,[],[],error
split/6/split_conflicts.py,Error processing file: All candidate models failed.,[],[],error
split/7/cli.py,Error processing file: All candidate models failed.,[],[],error
split/7/split_trace_main.py,Error processing file: All candidate models failed.,[],[],error
split/8/change_main.py,Error processing file: All candidate models failed.,[],[],error
split/8/cli.py,Error processing file: All candidate models failed.,[],[],error
split/9/cli.py,Error processing file: All candidate models failed.,[],[],error
split/9/install_completion.py,Error processing file: All candidate models failed.,[],[],error
split/simple_math/split_example.py,Error processing file: All candidate models failed.,[],[],error
split/simple_math/split_script.py,Error processing file: All candidate models failed.,[],[],error
split_example.py,Error processing file: All candidate models failed.,[],[],error
split_main_example.py,Error processing file: All candidate models failed.,[],[],error
summarize_directory_example.py,Error processing file: All candidate models failed.,[],[],error
sync_animation_example.py,Error processing file: All candidate models failed.,[],[],error
sync_code_main_example.py,Error processing file: All candidate models failed.,[],[],error
sync_determine_operation_example.py,Error processing file: All candidate models failed.,[],[],error
sync_main_example.py,Error processing file: All candidate models failed.,[],[],error
sync_orchestration_example.py,Error processing file: All candidate models failed.,[],[],error
sync_order_example.py,Error processing file: All candidate models failed.,[],[],error
tiktoken_example.py,Error processing file: All candidate models failed.,[],[],error
trace_example.py,Error processing file: All candidate models failed.,[],[],error
trace_main_example.py,Error processing file: All candidate models failed.,[],[],error
track_cost_example.py,Error processing file: All candidate models failed.,[],[],error
unfinished_prompt_example.py,Error processing file: All candidate models failed.,[],[],error
unrunnable_raw_llm_output.py,Error processing file: All candidate models failed.,[],[],error
update/1/initial_change.py,Error processing file: All candidate models failed.,[],[],error
update/1/modified_change.py,Error processing file: All candidate models failed.,[],[],error
update/2/initial_continue_generation.py,Error processing file: All candidate models failed.,[],[],error
update/2/modified_continue_generation.py,Error processing file: All candidate models failed.,[],[],error
update_main_example.py,Error processing file: All candidate models failed.,[],[],error
update_model_costs_example.py,Error processing file: All candidate models failed.,[],[],error
update_prompt_example.py,Error processing file: All candidate models failed.,[],[],error
vertex_ai_litellm.py,Error processing file: All candidate models failed.,[],[],error
websocket_example.py,Error processing file: All candidate models failed.,[],[],error
xml_tagger_example.py,Error processing file: All candidate models failed.,[],[],error
